date,low_temp,high_temp,ave_temp
2011/1/1,2.2,10.8,6.6
2011/1/2,4.1,11,7
2011/1/3,3.1,9.2,5.9
2011/1/4,3.3,9.8,6.3
2011/1/5,2.8,11,7.3
2011/1/6,3.1,10.8,6.5
2011/1/7,1.8,7.3,4
2011/1/8,1,10,5.9
2011/1/9,0.6,12.2,6.1
2011/1/10,1.4,6.1,3.4
2011/1/11,0.5,6.4,3.8
2011/1/12,1.9,9.5,5.1
2011/1/13,2.4,7.7,4.4
2011/1/14,0,7.3,3.8
2011/1/15,0.2,7.4,4
2011/1/16,-1.1,5.9,2.2
2011/1/17,-0.2,11,5
2011/1/18,0.1,10.6,5.5
2011/1/19,1.7,10.6,6.3
2011/1/20,2.2,10.1,5.4
2011/1/21,2.3,8.5,5
2011/1/22,2.6,10.4,6
2011/1/23,2.4,9.4,5.7
2011/1/24,2.5,8.2,5.1
2011/1/25,2.9,10.2,5.9
2011/1/26,1.4,9.7,5.3
2011/1/27,0.9,10.5,5.5
2011/1/28,0.4,8,3.7
2011/1/29,1.4,7.6,4.2
2011/1/30,0.6,6.1,2.9
2011/1/31,-1,7.4,2.9
2011/2/1,-0.8,12.7,5.9
2011/2/2,2.4,9,5.8
2011/2/3,2,11.9,7.4
2011/2/4,3.8,13.8,8.8
2011/2/5,3.8,11.4,8.1
2011/2/6,5.5,12.2,8.3
2011/2/7,4.5,13.8,8.2
2011/2/8,3.5,7.8,5.8
2011/2/9,1.2,9.1,5
2011/2/10,4.1,9.6,6.5
2011/2/11,0.8,5.5,2
2011/2/12,0.8,3.9,2.1
2011/2/13,-0.2,8.7,4.7
2011/2/14,0.3,6.6,3.3
2011/2/15,0.7,10.3,5.3
2011/2/16,1.6,12.2,6.8
2011/2/17,5.6,14.6,10
2011/2/18,5.3,14.5,9.1
2011/2/19,3.7,8.7,6.1
2011/2/20,5,9.1,7
2011/2/21,4.6,9.9,7.1
2011/2/22,3.1,11.2,6.5
2011/2/23,3.9,13,8.4
2011/2/24,8,14.2,11.4
2011/2/25,6.8,20.8,14.1
2011/2/26,3.8,10.8,7.2
2011/2/27,4.1,18.7,10.4
2011/2/28,2.2,9.5,4.9
2011/3/1,4.4,7.8,5.8
2011/3/2,2.6,10.3,6.8
2011/3/3,1.8,8.1,4.4
2011/3/4,1.9,8.3,4.6
2011/3/5,1.6,11.5,7.4
2011/3/6,2.9,15,9.3
2011/3/7,1,9.3,4.5
2011/3/8,2.6,10,6.9
2011/3/9,3.7,12,7.4
2011/3/10,2.7,10,6.2
2011/3/11,2.9,11.3,6.5
2011/3/12,2.3,12.9,8.2
2011/3/13,5.2,15.9,11.3
2011/3/14,6.7,20.2,14.1
2011/3/15,9.2,14,10.9
2011/3/16,3.5,13,7.5
2011/3/17,1.8,8.9,4.6
2011/3/18,1.2,10.1,6.1
2011/3/19,6.7,18.2,12.3
2011/3/20,9.4,17,13.7
2011/3/21,7.3,13.4,9.6
2011/3/22,5.7,7.6,6.9
2011/3/23,2.7,10,6.4
2011/3/24,2.9,8.1,5.4
2011/3/25,3.5,13.4,8.1
2011/3/26,4.3,11.6,7.4
2011/3/27,2.9,12,7.4
2011/3/28,4.4,12.7,8.6
2011/3/29,5.2,15.3,10.9
2011/3/30,6.7,16.5,11.6
2011/3/31,5.8,15.5,9.7
2011/4/1,6.6,15.7,11.2
2011/4/2,9.1,18.4,13.4
2011/4/3,6.9,9.9,7.9
2011/4/4,5.9,13.9,9
2011/4/5,4.3,15.4,10.1
2011/4/6,7.7,19.1,13.7
2011/4/7,10.3,20.6,15.7
2011/4/8,15.5,18.7,17.2
2011/4/9,12.3,18,16.1
2011/4/10,10.3,17.7,13.7
2011/4/11,8.6,19.3,13.7
2011/4/12,7.6,15.7,11.4
2011/4/13,7.1,20.5,14.3
2011/4/14,11.1,22.1,16.7
2011/4/15,13.7,22.5,18.4
2011/4/16,12.9,24.6,18.6
2011/4/17,9.6,17.6,13.6
2011/4/18,12.5,17.4,14.9
2011/4/19,7.3,18.1,10.8
2011/4/20,6.5,16.7,10.9
2011/4/21,8.8,16.2,12.4
2011/4/22,11.4,18.8,15.5
2011/4/23,14.8,17.9,16.5
2011/4/24,11.4,20,16.1
2011/4/25,10.9,20.1,15
2011/4/26,11.3,21,16.2
2011/4/27,14.9,24.4,20.1
2011/4/28,14.3,24.8,19.8
2011/4/29,12,19.1,15.1
2011/4/30,12.3,22.2,17.6
2011/5/1,15.4,21.1,18.4
2011/5/2,14.4,24.2,19.6
2011/5/3,13.5,18.2,15.8
2011/5/4,13.3,21.7,17.3
2011/5/5,13,17.2,15.1
2011/5/6,12.4,19.6,16
2011/5/7,15.4,18.4,17
2011/5/8,14.5,25.9,20.6
2011/5/9,14.8,23.8,19.7
2011/5/10,18.4,27.2,22.8
2011/5/11,13.9,18.5,15.2
2011/5/12,13.9,16.8,15.6
2011/5/13,16.1,24.4,19.8
2011/5/14,14.3,25.1,20.1
2011/5/15,13.9,25.6,20.5
2011/5/16,16.9,23.5,20.3
2011/5/17,15.3,21.7,18.2
2011/5/18,15.2,23.7,19.4
2011/5/19,15.4,25.7,20.9
2011/5/20,18.2,26.7,22
2011/5/21,19.3,27.6,22.8
2011/5/22,15.2,29.6,20.8
2011/5/23,12.8,18.3,15.6
2011/5/24,12.2,18.1,14.6
2011/5/25,12.9,23.8,18.7
2011/5/26,16.1,22.3,19.3
2011/5/27,17.1,20.6,18.8
2011/5/28,17.1,19.7,18.4
2011/5/29,16.2,19.1,18
2011/5/30,16.1,21.7,17.4
2011/5/31,12.2,18.7,15.2
2011/6/1,12.1,18.5,15.2
2011/6/2,14.3,17.4,16
2011/6/3,15.2,24,19.8
2011/6/4,18.8,26.3,22.1
2011/6/5,18.3,25.7,22.2
2011/6/6,17.4,28.6,22.9
2011/6/7,20.2,24,21.6
2011/6/8,17.4,22.7,19.7
2011/6/9,18.3,25.6,21.8
2011/6/10,20.6,24.9,22.8
2011/6/11,20.9,25.1,22.2
2011/6/12,20.8,26.2,23.2
2011/6/13,18.2,23.5,20.9
